production,,"gg->H,0-jet,pTH<10GeV","gg->H,0-jet,10<=pTH<200GeV","gg->H,1-jet,pTH<60GeV","gg->H,1-jet,60<=pTH<120GeV","gg->H,1-jet,120<=pTH<200GeV","gg->H,>=2-jet,mjj<350GeV,pTH<120GeV","gg->H,>=2-jet,mjj<350GeV,120<=pTH<200GeV","gg->H,>=2-jet,mjj>=350GeV,pTH<200GeV","gg->H,200<=pTH<300GeV","gg->H,300<=pTH<450GeV","gg->H,pTH>=450GeV","qq->Hqq,<=1-jetandVH-veto(VBF)","qq->Hqq,>=2-jet,350<=mjj<700GeV,pTH<200GeV","qq->Hqq,>=2-jet,350<=mjj<1000GeV,pTH>=200GeV","qq->Hqq,>=2-jet,60<mjj<120GeV","qq->Hqq,>=2-jet,700<=mjj<1000GeV,pTH<200GeV","qq->Hqq,>=2-jet,mjj>=1000GeV,pTH<200GeV","qq->Hqq,>=2-jet,mjj>=1000GeV,pTH>=200GeV","qq->Hlv,pTV<150GeV","qq->Hlv,pTV>150GeV","gg/qq->Hll,pTV<150GeV","gg/qq->Hll,pTV>150GeV","ttH,pTH<60GeV","ttH,120<=pTH<200GeV","ttH,200<=pTH<300GeV","ttH,60<=pTH<120GeV","ttH,pTH>300GeV",tH,"gg->H,0-jet,pTH<200GeV","gg->H,1-jet,pTH<60GeV","gg->H,1-jet,60<=pTH<120GeV","gg->H,1-jet,120<=pTH<200GeV","gg->H,>=2-jet,pTH<200GeV","gg->H,pTH>200GeV","qq->Hqq,>=2-jet,350<=mjj<700GeV,pTH<200GeV","qq->Hqq,>=2-jet,700<=mjj<1000GeV,pTH<200GeV","qq->Hqq,>=2-jet,1000<=mjj<1500GeV,pTH<200GeV","qq->Hqq,>=2-jet,mjj>=1500GeV,pTH<200GeV","qq->Hqq,>=2-jet,mjj>=350GeV,pTH>=200GeV","gg->H,0-jet,pTH<10GeV","gg->H,0-jet,10<=pTH<200GeV","gg->H,1-jet,pTH<60GeV","gg->H,1-jet,60<=pTH<120GeV","gg->H,1-jet,120<=pTH<200GeV","gg->H,>=2-jet,pTH<200GeV","gg->H,>=2-jet,pTH>200GeV","qq->Hqq,<=1-jetandVH-veto(VBF)","qq->Hqq,>=2-jet,60<mjj<120GeV","qq->Hqq,>=2-jet,mjj>=350GeV,pTH>=200GeV",VH-lep,ttH,"gg->H,450<=pTH<650GeV","gg->H,pTH>650GeV",qq->Hqq,"qq->Hlv,150<=pTV<250GeV","qq->Hlv,250<=pTV<400GeV","qq->Hlv,pTV>=400GeV","gg/qq->Hll,75<=pTV<150GeV","gg/qq->Hll,150<=pTV<250GeV","gg/qq->Hll,250<=pTV<400GeV","gg/qq->Hll,pTV>=400GeV","ttH,0<=pTH<120GeV","ttH,120<=pTH<200GeV","ttH,200<=pTH<300GeV","ttH,300<=pTH<450GeV","ttH,pTH>450GeV","gg->H,1-jet,120<=pTH<200GeV","gg->H,>=2-jet,mjj<350GeV,120<=pTH<200GeV","gg->H,>=2-jet,mjj>=350GeV,pTH<200GeV","gg->H,200<=pTH<300GeV","gg->H,pTH>=300GeV","gg->H,1-jetor>=2-jet,mjj<350GeV,60<=pTH<120GeV","qq->Hqq,>=2-jet,60<mjj<120GeV","qq->Hqq,>=2-jet,mjj>=350GeV",ttH,"gg->H,ttH,H->mumu","qq->Hqq,VH,H->mumu","all->H,H->Zga"
"gg->H,200<=pTH<300GeV",H->gaga,-0.04,0.12,0.1,0.22,0.16,0.05,0.13,0.01,1.0,0.06,0.1,-0.29,0.01,-0.21,-0.17,0.02,0.02,-0.04,0.01,0.01,0.0,0.0,0.0,0.02,0.0,0.02,0.03,-0.04,0.07,0.0,0.03,0.04,-0.01,0.0,0.02,0.01,0.0,0.0,0.0,-0.03,0.07,-0.03,0.06,0.02,-0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.04,0.02,0.0,-0.02,0.0,-0.01,0.0,0.0
"gg->H,300<=pTH<450GeV",H->gaga,0.0,0.03,0.06,0.09,0.08,0.07,0.09,0.03,0.06,1.0,0.02,-0.21,0.0,-0.12,-0.11,0.0,0.0,-0.04,0.0,0.0,0.0,0.01,0.0,0.03,0.01,0.0,-0.03,-0.04,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.03,0.0,0.0,-0.01,0.0,0.0,0.0,0.0
"gg->H,pTH>=450GeV",H->gaga,0.0,0.04,0.05,0.08,0.07,0.04,0.07,0.02,0.1,0.02,1.0,-0.14,0.0,-0.08,-0.03,0.01,0.01,-0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,-0.02,-0.02,0.01,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"qq->Hqq,<=1-jetandVH-veto(VBF)",H->gaga,0.0,-0.06,-0.27,-0.38,-0.37,-0.26,-0.25,-0.06,-0.29,-0.21,-0.14,1.0,0.0,0.04,0.06,-0.03,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.02,-0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.0
"qq->Hqq,>=2-jet,350<=mjj<700GeV,pTH<200GeV",H->gaga,0.0,0.03,0.02,0.02,0.0,0.0,0.0,-0.49,0.01,0.0,0.0,0.0,1.0,0.01,0.0,0.17,0.29,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.01,-0.01,-0.01,0.03,0.07,0.12,0.13,0.12,0.0,0.02,-0.02,0.0,-0.02,-0.03,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,-0.04,0.0,0.0,0.0,0.0,0.19,0.0,-0.01,0.02,0.0
"qq->Hqq,>=2-jet,350<=mjj<1000GeV,pTH>=200GeV",H->gaga,0.0,0.02,-0.01,0.0,0.0,-0.03,0.0,-0.01,-0.21,-0.12,-0.08,0.04,0.01,1.0,0.05,0.0,0.02,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.01,0.01,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"qq->Hqq,>=2-jet,60<mjj<120GeV",H->gaga,0.0,0.0,-0.02,-0.02,0.0,-0.12,-0.26,0.0,-0.17,-0.11,-0.03,0.06,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"qq->Hqq,>=2-jet,700<=mjj<1000GeV,pTH<200GeV",H->gaga,0.0,0.03,0.02,0.03,0.01,0.02,0.03,-0.29,0.02,0.0,0.01,-0.03,0.17,0.0,0.0,1.0,0.11,0.08,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,-0.01,0.02,0.05,0.09,0.1,0.09,0.0,0.0,-0.01,0.0,-0.02,-0.02,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.03,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.02,0.0
"qq->Hqq,>=2-jet,mjj>=1000GeV,pTH<200GeV",H->gaga,0.0,0.04,0.02,0.02,0.0,0.01,0.02,-0.25,0.02,0.0,0.01,0.0,0.29,0.02,0.0,0.11,1.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,-0.01,0.02,0.06,0.11,0.13,0.11,0.0,0.0,-0.01,0.0,-0.02,-0.03,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.04,0.0,0.0,0.0,0.0,0.18,0.0,-0.01,0.02,0.0
"qq->Hqq,>=2-jet,mjj>=1000GeV,pTH>=200GeV",H->gaga,0.0,0.02,0.01,0.0,0.0,0.0,0.01,-0.04,-0.04,-0.04,-0.02,0.0,0.11,-0.04,0.0,0.08,0.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.06,0.05,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.01,0.0
"qq->Hlv,pTV<150GeV",H->gaga,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.06,-0.15,0.0,0.0,0.01,0.02,0.0,0.02,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"qq->Hlv,pTV>150GeV",H->gaga,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,1.0,0.0,-0.32,0.0,0.0,0.0,0.01,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg/qq->Hll,pTV<150GeV",H->gaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.0,1.0,-0.09,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gg/qq->Hll,pTV>150GeV",H->gaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32,-0.09,1.0,0.0,0.01,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ttH,pTH<60GeV",H->gaga,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.03,-0.02,0.03,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ttH,120<=pTH<200GeV",H->gaga,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.03,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.02,1.0,0.02,0.0,0.06,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ttH,200<=pTH<300GeV",H->gaga,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.02,1.0,0.04,0.03,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ttH,60<=pTH<120GeV",H->gaga,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,-0.02,0.0,0.04,1.0,0.06,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ttH,pTH>300GeV",H->gaga,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.03,-0.03,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.06,0.03,0.06,1.0,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tH,H->gaga,0.0,0.02,0.0,0.0,0.0,-0.03,-0.02,-0.07,-0.04,-0.04,-0.02,0.0,0.01,-0.01,0.0,0.0,0.0,0.0,-0.09,-0.05,-0.01,-0.03,-0.1,-0.2,-0.24,-0.19,-0.26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
